Country Name,Country Code,Indicator Name,job
Afghanistan,AFG,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
Angola,AGO,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
Albania,ALB,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
United Arab Emirates,ARE,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
Argentina,ARG,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
Armenia,ARM,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),1
Antigua and Barbuda,ATG,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),1
Australia,AUS,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),1
Austria,AUT,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),1
Azerbaijan,AZE,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
Burundi,BDI,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),1
Belgium,BEL,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),1
Benin,BEN,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
Burkina Faso,BFA,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
Bangladesh,BGD,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
Bulgaria,BGR,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),1
Bahrain,BHR,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
"Bahamas, The",BHS,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),1
Bosnia and Herzegovina,BIH,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
Belarus,BLR,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
Belize,BLZ,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
Bermuda,BMU,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),
Bolivia,BOL,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
Brazil,BRA,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
Barbados,BRB,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
Brunei Darussalam,BRN,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),1
Bhutan,BTN,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
Botswana,BWA,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),1
Central African Republic,CAF,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
Canada,CAN,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),1
Central Europe and the Baltics,CEB,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),
Switzerland,CHE,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),1
Channel Islands,CHI,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),
Chile,CHL,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
China,CHN,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
Cote d'Ivoire,CIV,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
Cameroon,CMR,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
"Congo, Dem. Rep.",COD,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
"Congo, Rep.",COG,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
Colombia,COL,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
Comoros,COM,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),1
Cabo Verde,CPV,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),1
Costa Rica,CRI,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
Caribbean small states,CSS,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),
Cuba,CUB,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),
Curacao,CUW,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),
Cayman Islands,CYM,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),
Cyprus,CYP,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
Czech Republic,CZE,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
Germany,DEU,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),1
Djibouti,DJI,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
Dominica,DMA,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
Denmark,DNK,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),1
Dominican Republic,DOM,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),1
Algeria,DZA,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
East Asia & Pacific (excluding high income),EAP,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),
Early-demographic dividend,EAR,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),
East Asia & Pacific,EAS,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),
Europe & Central Asia (excluding high income),ECA,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),
Europe & Central Asia,ECS,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),
Ecuador,ECU,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
"Egypt, Arab Rep.",EGY,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
Euro area,EMU,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),
Eritrea,ERI,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),1
Spain,ESP,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),1
Estonia,EST,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),1
Ethiopia,ETH,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
European Union,EUU,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),
Fragile and conflict affected situations,FCS,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),
Finland,FIN,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),1
Fiji,FJI,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
France,FRA,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
Faroe Islands,FRO,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),
"Micronesia, Fed. Sts.",FSM,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),1
Gabon,GAB,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
United Kingdom,GBR,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),1
Georgia,GEO,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),1
Ghana,GHA,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
Gibraltar,GIB,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),
Guinea,GIN,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
"Gambia, The",GMB,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),1
Guinea-Bissau,GNB,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
Equatorial Guinea,GNQ,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
Greece,GRC,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),1
Grenada,GRD,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),1
Greenland,GRL,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),
Guatemala,GTM,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
Guam,GUM,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),
Guyana,GUY,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
High income,HIC,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),
"Hong Kong SAR, China",HKG,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),1
Honduras,HND,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
Heavily indebted poor countries (HIPC),HPC,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),
Croatia,HRV,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),1
Haiti,HTI,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),1
